District,Year,Yield,Harvested_Extent,Sown_Extent,Production,Season
AMPARA,1979,3349,27375,28703,87.8,Yala
AMPARA,1978/1979,3124,41779,44037,29.3,Maha
AMPARA,1979/1980,3597,40609,41056,30.1,Maha
AMPARA,1981,4139,23674,24160,93.8,Yala
AMPARA,1980/1981,4253,48638,48835,30.6,Maha
AMPARA,1982,4520,23883,25107,103.3,Yala
AMPARA,1981/1982,3893,41433,47587,32.2,Maha
AMPARA,1983,4304,31116,31663,128.2,Yala
AMPARA,1982/1983,4339,46702,49356,43.1,Maha
AMPARA,1984,4155,38380,38594,152.7,Yala
AMPARA,1983/1984,3143,29661,50239,87.9,Maha
AMPARA,1985,4567,36490,36593,159.5,Yala
AMPARA,1984/1985,3827,45138,45223,165.4,Maha
AMPARA,1986,4133,43315,43489,171.4,Yala
AMPARA,1985/1986,3287,42983,46617,135.2,Maha
AMPARA,1987,4280,45869,45785,187.9,Yala
AMPARA,1986/1987,3606,47537,47974,164.1,Maha
AMPARA,1988,4277,40287,42306,165,Yala
AMPARA,1987/1988,3682,48359,51333,170.4,Maha
AMPARA,1989,3106,36361,39541,108.1,Yala
AMPARA,1988/1989,3470,49916,50410,165.8,Maha
AMPARA,1990,0,37270,47492,125.1,Yala
AMPARA,1989/1990,3522,52614,53306,177.4,Maha
AMPARA,1991,3550,37464,38691,127.3,Yala
AMPARA,1990/1991,3630,38643,40669,134,Maha
AMPARA,1992,3604,41736,42252,144,Yala
AMPARA,1991/1992,4098,46004,46896,180.5,Maha
AMPARA,1993,4171,44919,44920,179.3,Yala
AMPARA,1992/1993,3400,51785,51877,168.6,Maha
AMPARA,1994,4019,51396,51440,197.7,Yala
AMPARA,1993/1994,2875,51302,56183,141.2,Maha
AMPARA,1995,3997,51757,52050,198,Yala
AMPARA,1994/1995,3647,54576,55877,190.6,Maha
AMPARA,1996,4415,51097,51196,216,Yala
AMPARA,1995/1996,3857,51027,51278,188.4,Maha
AMPARA,1997,4406,38455,38455,162.2,Yala
AMPARA,1996/1997,4187,53648,55414,215.1,Maha
AMPARA,1998,4548,51499,52574,224.2,Yala
AMPARA,1997/1998,3771,56947,58110,205.6,Maha
AMPARA,1999,4290,51842,53465,212.9,Yala
AMPARA,1998/1999,4099,54907,56427,215.4,Maha
AMPARA,2000,4666,54521,54569,243,Yala
AMPARA,1999/2000,3866,52209,58010,193,Maha
AMPARA,2001,4908,52656,53307,247,Yala
AMPARA,2000/2001,4099,57047,57334,223,Maha
AMPARA,2002,4512,51962,54697,224,Yala
AMPARA,2001/2002,4607,56220,57367,248,Maha
AMPARA,2003,4491,51788,56292,222.1,Yala
AMPARA,2002/2003,4216,56724,60994,229,Maha
AMPARA,2004,4771,55739,55755,254.2,Yala
AMPARA,2003/2004,4655,55974,56794,249,Maha
AMPARA,2005,4766,56322,56324,256.6,Yala
AMPARA,2004/2005,4292,59288,60737,243.2,Maha
AMPARA,2006,4884,55021,55036,256.8,Yala
AMPARA,2005/2006,4576,62632,62715,273.9,Maha
AMPARA,2007,4993,53633,53787,256,Yala
AMPARA,2006/2007,4934,51747,51803,244,Maha
AMPARA,2008,4927,60124,60168,283.1,Yala
AMPARA,2007/2008,4864,64435,64490,299.5,Maha
AMPARA,2009,4964,45303,46227,214.9,Yala
AMPARA,2008/2009,5158,68448,69979,38.1,Maha
AMPARA,2010,4877,59196,59255,275.9,Yala
AMPARA,2009/2010,5368,69840,69861,38,Maha
AMPARA,2011,4863,61904,61904,287.7,Yala
AMPARA,2010/2011,3333,39682,70819,49.2,Maha
AMPARA,2012,4729,59749,60864,270,Yala
AMPARA,2011/2012,5026,71877,71877,37,Maha
AMPARA,2013,4833,64352,64403,297.2,Yala
AMPARA,2012/2013,4084,80456,82921,40.2,Maha
AMPARA,2014,4700,44360,44377,199.3,Yala
AMPARA,2013/2014,4885,78981,81940,40.9,Maha
AMPARA,2015,4906,65968,65973,309.3,Yala
AMPARA,2014/2015,4078,78932,83133,39.1,Maha
AMPARA,2016,4766,64003,64004,291.52,Yala
AMPARA,2015/2016,4467,80752,80986,36.66,Maha
AMPARA,2017,4251,45937,46302,186.65,Yala
AMPARA,2016/2017,4785,67737,81458,24.35,Maha
AMPARA,2018,4840,41927,44262,193.92,Yala
AMPARA,2017/2018,4562,76324,81293,29.78,Maha
AMPARA,2019,5377,55117,56055,283.23,Yala
AMPARA,2018/2019,5030,76360,79982,44.48,Maha
AMPARA,2020,5003,60708,61295,290.26,Yala
AMPARA,2019/2020,4764,76794,79417,46.52,Maha
AMPARA,2021,5229,62776,62860,313.71,Yala
AMPARA,2022,3708,62644,62686,222,Yala
AMPARA,2021/2022,2857,81230,82442,37.3,Maha
AMPARA,2023,4338,63176,63184,261.94,Yala
AMPARA,2022/2023,4172,79886,80553,46.67,Maha
AMPARA,2024,5532,63161,63165,333.94,Yala
AMPARA,2023/2024,3933,71045,81373,47.22,Maha
ANURADHAPURA,1979,3055,18539,18994,45.6,Yala
ANURADHAPURA,1978/1979,3528,72864,75060,207,Maha
ANURADHAPURA,1979/1980,3744,73228,76299,220.8,Maha
